objArrayNum,objNum,isGood,AllelicExpression,area,alexa.RNACounts
1,1,true,biallelic,100001,2838
1,2,true,monoallelic,51738,1525
1,3,true,UNDEF,45880,623
2,1,true,biallelic,90466,36
2,2,true,biallelic,73005,996
2,3,true,biallelic,44623,560
3,1,true,biallelic,34698,459
3,2,true,biallelic,77586,2199
3,3,true,biallelic,49097,53
5,1,true,IGF2+,24151,200
5,2,true,IGF2+,20779,334
5,3,true,IGF2+,17863,202
5,4,true,biallelic,14391,412
5,5,true,biallelic,19725,454
5,6,true,monoallelic,35775,664
6,1,true,biallelic,34765,903
6,2,true,biallelic,23986,27
6,3,true,biallelic,40207,387
6,4,true,biallelic,26481,31
6,5,true,monoallelic,33198,793
7,1,true,biallelic,44890,1135
7,2,true,biallelic,15807,789
7,3,true,biallelic,27470,584
7,4,true,monoallelic,28127,162
7,5,true,biallelic,36372,1109
8,1,true,IGF2+,45042,2184
8,2,true,biallelic,29905,1020
8,3,true,biallelic,40085,642
8,4,true,biallelic,22950,677
8,5,true,monoallelic,54551,1199
9,1,true,monoallelic,40708,946
9,2,true,biallelic,38547,823
10,1,true,biallelic,54903,1106
11,1,true,IGF2+,34481,33
11,2,true,IGF2+,20959,547
11,3,true,biallelic,79601,1575
11,4,true,biallelic,32880,966
12,1,true,biallelic,35108,372
12,2,true,biallelic,27264,983
12,3,true,biallelic,43296,2285
12,4,true,biallelic,60835,181
13,1,true,biallelic,33872,651
14,1,true,monoallelic,50377,673
14,2,true,biallelic,22194,354
14,3,true,biallelic,14105,142
15,1,true,monoallelic,36852,17
15,2,true,biallelic,47045,92
15,3,true,monoallelic,13187,261
15,4,true,biallelic,26987,111
15,5,true,biallelic,26128,668
16,1,true,biallelic,49396,24
16,2,true,biallelic,55767,17
17,1,true,monoallelic,30596,144
17,2,true,biallelic,28657,618
17,3,true,biallelic,32154,798
17,4,true,biallelic,51165,1217
19,1,true,monoallelic,13685,373
19,2,true,biallelic,54178,1777
19,3,true,biallelic,20111,816
19,4,true,biallelic,21365,429
19,5,true,biallelic,20916,1101
20,1,true,monoallelic,25416,758
20,2,true,monoallelic,14731,284
20,3,true,monoallelic,36335,1077
20,4,true,biallelic,39000,736
20,5,true,biallelic,49666,2137
20,6,true,biallelic,36558,80
21,1,true,biallelic,31561,670
21,2,true,biallelic,52645,1713
22,1,true,monoallelic,24622,387
22,2,true,biallelic,12206,267
22,3,true,biallelic,67299,1103
23,1,true,biallelic,20921,341
23,2,true,biallelic,16948,52
