objArrayNum,objNum,isGood,AllelicExpression,area,alexa.RNACounts
1,1,true,IGF2+,132859,703
1,2,true,IGF2+,208380,1246
1,3,true,monoallelic,52202,532
2,1,true,IGF2+,71800,900
2,2,true,IGF2+,56078,741
2,3,true,IGF2+,77958,824
2,4,true,IGF2+,43028,106
3,1,true,IGF2+,140920,392
3,2,true,IGF2+,93869,1681
4,1,true,IGF2+,114726,264
4,2,true,IGF2+,128138,417
4,3,true,IGF2+,73636,233
5,1,true,IGF2+,63606,262
5,2,true,IGF2+,63023,338
6,1,true,IGF2+,61415,426
6,2,true,IGF2+,54307,224
6,3,true,IGF2+,67647,148
7,1,true,monoallelic,58700,410
7,2,true,monoallelic,109907,877
7,3,true,IGF2+,42085,229
7,4,true,IGF2+,53918,449
8,1,true,IGF2+,152177,1836
8,2,true,IGF2+,121997,1005
8,3,true,IGF2+,117889,1318
9,1,true,IGF2+,70161,931
9,2,true,IGF2+,51948,1033
9,3,true,IGF2+,32489,390
9,4,true,IGF2+,84608,1588
9,5,true,IGF2+,25633,577
10,1,true,monoallelic,59838,699
11,1,true,IGF2+,149080,1234
11,2,true,IGF2+,90489,1457
12,1,true,monoallelic,149750,1827
12,2,true,UNDEF,425659,4275
12,3,true,IGF2+,47833,398
