cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,1,3
4,1,4
5,2,1
6,2,2
7,3,1
8,3,2
9,4,1
10,4,2
11,5,1
12,5,2
13,5,3
14,5,4
15,5,5
16,6,1
17,6,2
18,7,1
19,7,2
20,8,1
21,8,2
22,9,1
23,9,2
24,10,1
25,10,2
26,11,1
27,12,1
28,12,2
29,12,3
30,13,1
31,14,1
32,14,2
33,14,3
34,15,1
35,15,2
36,16,1
37,16,2
38,17,1
39,17,2
40,18,1
41,18,2
42,19,1
43,19,2
44,20,1
45,20,2
46,20,3
47,20,4
48,20,5
49,21,1
50,21,2
51,22,1
52,22,2
53,22,3
54,23,1
55,23,2
56,23,3
57,24,1
58,24,2
59,24,3
60,25,1
61,25,2
62,26,1
63,26,2
64,27,1
65,27,2
66,27,3
67,28,1
68,28,2
69,29,1
70,29,2
71,30,1
72,30,2
73,31,1
74,31,2
75,31,3
76,32,1
77,32,2
78,33,1
79,33,2
80,34,1
81,34,2
82,35,1
83,35,2
84,36,1
85,36,2
86,37,1
87,37,2
88,37,3
89,37,4
90,38,1
91,38,2
92,38,3
93,39,1
94,39,2
95,40,1
96,40,2
