cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,4,1
7,4,2
8,5,1
9,6,1
10,7,1
11,8,1
12,9,1
13,9,2
14,10,1
15,11,1
16,11,2
17,12,1
18,12,2
19,13,1
20,14,1
21,14,2
22,15,1
23,15,2
24,16,1
25,16,2
26,17,1
27,17,2
28,17,3
29,18,1
30,19,1
31,19,2
32,20,1
33,21,1
34,21,2
35,22,1
36,22,2
37,22,3
38,22,4
39,22,5
40,23,1
41,23,2
42,23,3
43,24,1
44,24,2
45,24,3
46,25,1
47,25,2
48,25,3
49,25,4
50,26,1
51,27,1
52,27,2
53,28,1
54,29,1
55,30,1
56,31,1
57,32,1
58,32,2
59,32,3
60,32,4
61,33,1
62,33,2
63,34,1
64,34,2
65,35,1
66,35,2
