cellID,ArrayNum,ObjNum
1,1,1
2,2,1
3,3,1
4,4,1
5,4,2
6,5,1
7,6,1
8,6,2
9,7,1
10,8,1
11,8,2
12,9,1
13,10,1
14,10,2
15,11,1
16,12,1
17,13,1
18,13,2
19,14,1
20,15,1
21,16,1
22,16,2
23,17,1
24,17,2
25,17,3
26,18,1
27,19,1
28,20,1
29,20,2
30,21,1
31,22,1
32,23,1
33,24,1
34,25,1
35,25,2
36,26,1
37,27,1
38,27,2
39,28,1
40,29,1
41,30,1
42,31,1
43,31,2
44,32,1
45,33,1
46,34,1
47,34,2
48,34,3
49,34,4
50,35,1
51,35,2
52,36,1
53,37,1
54,38,1
55,38,2
56,39,1
57,40,1
58,40,2
59,40,3
60,41,1
61,41,2
62,42,1
63,42,2
64,43,1
65,44,1
66,45,1
67,46,1
68,47,1
