cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,2,1
4,2,2
5,3,1
6,3,2
7,4,1
8,5,1
9,5,2
10,6,1
11,7,1
12,7,2
13,8,1
14,9,1
15,9,2
16,10,1
17,10,2
18,11,1
19,11,2
20,12,1
21,13,1
22,14,1
23,15,1
24,16,1
25,16,2
26,16,3
27,16,4
28,17,1
29,17,2
30,18,1
31,19,1
32,19,2
33,20,1
34,20,2
35,21,1
36,22,1
37,24,1
38,24,2
39,25,1
40,25,2
41,26,1
42,27,1
43,28,1
44,28,2
45,29,1
46,31,1
47,32,1
48,33,1
49,34,1
50,35,1
51,35,2
52,35,3
53,36,1
54,37,1
55,38,1
56,39,1
57,39,2
58,40,1
59,41,1
60,42,1
61,43,1
62,43,2
63,44,1
64,45,1
65,47,1
66,47,2
67,48,1
68,48,2
69,49,1
70,50,1
71,50,2
72,51,1
73,52,1
74,53,1
75,54,1
76,54,2
77,55,1
78,56,1
79,56,2
80,57,1
81,59,1
