cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,1,3
4,1,4
5,3,1
6,3,2
7,3,3
8,3,4
9,4,1
10,4,2
11,4,3
12,5,1
13,5,2
14,5,3
15,6,1
16,6,2
17,7,1
18,7,2
19,8,1
20,9,1
21,9,2
22,10,1
23,10,2
24,11,1
25,12,1
26,13,1
27,14,1
28,15,1
29,16,1
30,16,2
31,17,1
32,17,2
33,18,1
34,18,2
35,18,3
36,19,1
37,19,2
38,20,1
39,20,2
40,20,3
41,21,1
42,22,1
43,23,1
44,23,2
45,24,1
46,24,2
47,24,3
48,25,1
49,25,2
50,26,1
51,26,2
52,27,1
53,27,2
54,28,1
55,29,1
56,30,1
57,30,2
58,30,3
59,30,4
60,31,1
61,31,2
62,31,3
63,32,1
64,33,1
65,33,2
66,34,1
67,34,2
