cellID,ArrayNum,ObjNum
1,1,1
2,2,1
3,9,1
4,9,2
5,10,1
6,10,2
7,10,3
8,11,1
9,11,2
10,12,1
11,13,1
12,13,2
13,13,3
14,14,1
15,15,1
16,16,1
17,16,2
18,16,3
19,17,1
20,17,2
21,17,3
22,18,1
23,18,2
24,18,3
25,19,1
26,20,1
27,21,1
28,22,1
29,23,1
30,24,1
31,24,2
32,25,1
33,26,1
34,27,1
35,27,2
36,27,3
37,28,1
38,28,2
39,28,3
40,29,1
41,30,1
42,31,1
43,31,2
44,31,3
45,32,1
46,32,2
47,32,3
48,33,1
49,33,2
50,34,1
51,34,2
52,35,1
53,36,1
54,36,2
55,36,3
56,37,1
57,38,1
58,39,1
59,39,2
60,40,1
61,41,1
62,41,2
63,41,3
64,42,1
65,42,2
66,42,3
67,43,1
68,44,1
69,44,2
70,44,3
71,44,4
72,45,1
73,46,1
74,47,1
75,48,1
76,48,2
77,49,1
78,49,2
79,50,1
80,51,1
81,51,2
82,52,1
83,53,1
84,53,2
85,54,1
86,54,2
87,55,1
88,56,1
89,57,1
90,58,1
91,58,2
92,58,3
