cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,2,1
4,3,1
5,4,1
6,4,2
7,5,1
8,5,2
9,6,1
10,6,2
11,7,1
12,7,2
13,8,1
14,8,2
15,8,3
16,8,4
17,9,1
18,9,2
19,10,1
20,10,2
21,10,3
22,11,1
23,11,2
24,12,1
25,12,2
26,13,1
27,13,2
28,14,1
29,14,2
30,15,1
31,16,1
32,16,2
33,17,1
34,17,2
35,17,3
36,18,1
37,18,2
38,19,1
39,20,1
40,20,2
41,20,3
42,21,1
43,21,2
44,21,3
45,22,1
46,22,2
47,23,1
48,23,2
49,23,3
50,24,1
51,24,2
52,25,1
53,26,1
54,27,1
55,28,1
56,28,2
57,29,1
58,29,2
59,29,3
60,30,1
61,30,2
62,31,1
63,31,2
