cellID,ArrayNum,ObjNum
1,1,1
2,1,2
3,1,3
4,2,1
5,2,2
6,2,3
7,2,4
8,2,5
9,3,1
10,3,2
11,4,1
12,4,2
13,4,3
14,5,1
15,6,1
16,7,1
17,9,1
18,9,2
19,10,1
20,11,1
21,11,2
22,11,3
23,11,4
24,12,1
25,12,2
26,12,3
27,12,4
28,13,1
29,13,2
30,13,3
31,14,1
32,14,2
33,14,3
34,14,4
35,15,1
36,15,2
37,16,1
38,17,1
39,17,2
40,18,1
41,18,2
42,19,1
43,20,1
44,21,1
45,21,2
46,21,3
47,22,1
48,22,2
49,22,3
50,23,1
51,23,2
52,23,3
53,24,1
54,24,2
55,25,1
56,26,1
57,26,2
58,26,3
59,27,1
60,27,2
61,27,3
62,28,1
63,28,2
64,29,1
65,29,2
66,30,1
67,30,2
68,30,3
69,31,1
70,32,1
71,32,2
72,33,1
73,33,2
74,33,3
75,33,4
76,34,1
77,34,2
78,35,1
79,35,2
80,35,3
81,36,1
82,37,1
83,38,1
84,38,2
85,38,3
86,38,4
87,40,1
88,40,2
89,41,1
90,41,2
91,42,1
92,43,1
93,43,2
94,43,3
95,43,4
96,44,1
97,44,2
98,45,1
99,45,2
100,45,3
101,46,1
102,46,2
103,46,3
104,47,1
105,47,2
106,47,3
107,47,4
108,47,5
109,48,1
110,48,2
111,48,3
112,48,4
113,49,1
114,49,2
115,50,1
116,50,2
117,50,3
118,50,4
119,51,1
120,51,2
121,52,1
122,52,2
123,54,1
124,54,2
